nom_amenageur,siren_amenageur,contact_amenageur,nom_operateur,contact_operateur,telephone_operateur,nom_enseigne,id_station_itinerance,id_station_local,nom_station,implantation_station,code_insee_commune,nbre_pdc,station_deux_roues,raccordement,num_pdl,date_mise_en_service,observations,adresse_station,Xlongitude,Ylatitude,source_grouped,horaires_grouped,gratuit_grouped,paiement_acte_grouped,paiement_cb_grouped,reservation_grouped,accessibilite_pmr_grouped,nb_prises_grouped,nb_EF_grouped,nb_T2_grouped,nb_combo_ccs_grouped,nb_chademo_grouped,nb_autre_grouped,power_ef_grouped,power_t2_grouped,power_chademo_grouped,power_ccs_grouped
,,,NEXTENEO,contact@nexteneo.com,,Serre chevalier,FR*0NX*POOLCAQ3M,,CLUB MED - Serre Chevalier,Parking privé réservé à la clientèle,,22,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[378 Chem. des Charrières][05240][La salle-les-Alpes],6.553132,44.945418,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,22,11,22,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Serre chevalier,FR*0NX*POOLCJEQL,,CLUB MED - Serre Chevalier,Parking privé réservé à la clientèle,,21,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[378 Chem. des Charrières][05240][La salle-les-Alpes],6.553132,44.945418,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,21,10,21,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,MOBILIS,FR*0NX*POOLXTDNT,,MOBILIS,Parking privé à usage public,,6,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[7 rue Orion][74650][Chavanod],6.079026,45.893398,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,6,6,6,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,SMAG,FR*0NX*POOLKQ44E,,Centre de convention,Parking privé réservé à la clientèle,,4,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[Rue Ada Byron][74160][Archamps],6.122463,46.136305,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,4,0,4,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,SA TRANSPORTS FRANCONY,FR*0NX*POOLTMC8P,,SABA,Parking privé réservé à la clientèle,,3,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[10 Rue de la Bouverie][74600][Seynod],6.111914,45.881672,nexteneo,Mo-Fr 12:00-14:00,false,true,false,false,Accessibilité inconnue,3,0,1,2,0,0,0,22.0,0,150.0
,,,NEXTENEO,contact@nexteneo.com,,Ville d'Annecy,FR*0NX*POOLC4BHY,,Ville d'Annecy - Parc des sports,Parking public,,9,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[33 Boulevard du Fier][74000][Annecy],6.116686,45.917568,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,9,9,9,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,LDTP - showroom,FR*0NX*POOLPHDRP,,LDTP - showroom,Parking privé réservé à la clientèle,,1,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[154 rue du plot][74570][Groisy],6.185035,46.003245,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,1,0,1,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Ville d'Annecy,FR*0NX*POOLHFX48,,Ville d'Annecy - Parking de Bonlieu,Parking public,,11,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[Rue Guillaume Fichet][74000][Annecy],6.12983,45.902285,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,17,17,17,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Ville d'Annecy,FR*0NX*POOLTFNT9,,Ville d'Annecy - Parking Poste,Parking public,,8,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[Rue des Glières][74000][Annecy],6.12212,45.900479,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,8,8,8,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Boulangerie Ange,FR*0NX*POOL38T9L,,Boulangerie Ange - Villeneuve d'Asq,Parking privé réservé à la clientèle,,4,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[91 route de sainghin][59650][Villeneuve-d'Ascq],3.164273,50.60612,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,4,4,4,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,RAFFINS,FR*0NX*POOLH4FGR,,Raffin & Associés Chavanod,Parking privé réservé à la clientèle,,4,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[71 rue cassiopée][74650][Chavanod],6.080419,45.89598,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,4,2,4,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,PRINGY POIDS LOURDS VOLVO,FR*0NX*POOLKYPYQ,,Pringy poids lourds,Parking privé réservé à la clientèle,,1,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[761 Route des Vernes][74370][Pringy],6.126458,45.937338,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,1,1,1,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,GALILEO,FR*0NX*POOL8T9XK,,GALILEO,Parking privé réservé à la clientèle,,2,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[178] [route de cran gevrier][74650][Chavanod],6.079967,45.894798,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,2,1,2,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Lac d’Annecy Camping,FR*0NX*POOLJ49KF,,Lac d’Annecy Camping,Parking privé réservé à la clientèle,,4,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[1184 Rte d’Albertville][74410][Saint-Jorioz],6.178151,45.830847,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,4,4,4,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,SNC fonciere,FR*0NX*POOLNRRH4,,L'Orée,Parking privé réservé à la clientèle,,10,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[7 avenue du pré félin][74940][Annecy],6.165394,45.924495,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,10,6,10,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,La ferrme du château,FR*0NX*POOL8HNJQ,,Reversade,Parking privé réservé à la clientèle,,4,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[152 impasse du bouchet][74410][Saint Jorioz],6.16672,45.823754,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,4,0,4,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,ACTIPOLE,FR*0NX*POOLJ44QH,,Actipole,Parking privé à usage public,,6,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[305D Rue Gabriel Voisin][69400][Villefranche-sur-Saône],4.74223,45.979647,nexteneo,Mo-Fr 12:00-18:00,false,true,false,false,Accessibilité inconnue,6,6,6,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Copropriété Genève Bellevue,FR*0NX*POOLM938D,,Copropriété Genève Bellevue,Parking privé réservé à la clientèle,,2,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[105 Avenue de Genève][74000][Annecy],6.123016,45.919879,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,2,2,2,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Chalet Rêve de Marmottes,FR*0NX*POOLEWTXY,,Chalet Rêve de Marmottes,Parking privé réservé à la clientèle,,2,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[48 Chemin de l'Arbépine][73550][Méribel - Les Allues],6.564499,45.415608,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,2,1,2,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Serre chevalier,FR*0NX*POOLKLA9F,,CLUB MED - Serre Chevalier,Parking privé réservé à la clientèle,,2,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[378 Chem. des Charrières][05240][La salle-les-Alpes],6.553132,44.945418,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,2,2,2,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Avoriaz - SERMA 1,FR*0NX*POOLGM6PT,,Avoriaz - SERMA 1,Parking privé réservé à la clientèle,,4,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[Téléphérique Prodains Express route des ardoissières][74110][Morzine],6.756907,46.189273,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,4,0,4,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,SMAG CDC,FR*0NX*POOLLMD9W,,Centre de convention,Parking privé réservé à la clientèle,,4,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[10 Rue Richard Gurley Drew][74160][Archamps],6.12238,46.136412,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,4,4,4,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Mairie de Manigod,FR*0NX*POOL3EPBP,,Mairie de Manigod,Parking privé réservé à la clientèle,,4,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[7082 Rte du Col de la Croix Fry][74230][Manigod],6.405953,45.877484,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,4,0,4,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,MOULINS D'ASCQ,FR*0NX*POOLE4XC3,,MOULINS D'ASCQ,Parking privé à usage public,,2,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[Route de Sainghin] [59493] [VILLENEUVE D'ASCQ],3.165022,50.606513,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,2,1,2,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,LOCKIT,FR*0NX*POOL3LXWP,,LOCKIT,Parking privé à usage public,,4,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[355 Rue Gabriel Voisin][69400][Villefranche-sur-Saône],4.741728,45.980558,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,4,4,4,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,GRAND ANNECY BASE CAMP,FR*0NX*POOL6YBPA,,ANNECY BASE CAMP,Parking privé à usage public,,2,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP","[Parc des Glaisins, 12 C Rue du Pré Faucon][74940][Annecy]",6.165283,45.930099,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,2,2,2,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Grand massif Samoens,FR*0NX*POOLG8YWA,,CLUB MED - GRAND MASSIF SAMÖENS,Parking privé réservé à la clientèle,,2,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[3868 Route du plateau des Saix][74340][Samoens],6.696886,46.054513,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,2,2,2,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Mairie de Champagny-en-Vanoise,FR*0NX*POOLB8FBF,,Mairie de Champagny-en-Vanoise,Parking public,,2,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[Route des Gardes][73350][Champagny-en-Vanoise],6.692705,45.454357,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,2,2,2,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Hôtel l'équipe,FR*0NX*POOLWEQK9,,Hôtel l'équipe,Parking privé réservé à la clientèle,,2,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[733 Avenue De Joux Plane][74110][Morzine],6.702397,46.180041,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,2,2,2,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,SGF parking,FR*0NX*POOL9P9WF,,SGF parking,Parking privé réservé à la clientèle,,2,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[2000 Chem. du Roy][73460][Sainte-Hélène-sur-Isère],6.310065,45.613734,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,2,2,2,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Les Cimes Blanches - CGH,FR*0NX*POOL8T4HR,,Les Cimes Blanches,Parking privé réservé à la clientèle,,4,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP","[Quartier de l'Averne, Rue de l'Averne][73700][Montvalezan]",6.860869,45.626471,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,4,4,4,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Garage Mouthon,FR*0NX*POOL3D3HY,,Garage Mouthon,Parking privé réservé à la clientèle,,2,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[52 route des Creuses][74000][Annecy],6.094533,45.892917,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,2,0,1,1,0,0,0,22.0,0,60.0
,,,NEXTENEO,contact@nexteneo.com,,Sirius,FR*0NX*POOLMYPYA,,Sirius,Parking privé réservé à la clientèle,,6,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[17 All. du Lac de Tignes][73290][La Motte-Servolex],5.871812,45.637946,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,6,0,6,0,0,0,0,22.0,0,0
,,,NEXTENEO,contact@nexteneo.com,,Le Flocon Blanc,FR*0NX*POOLYKB6J,,Le Flocon Blanc,Parking privé réservé à la clientèle,,2,false,,,,"Recharge disponible aux heures d'ouverture, Badge, QRcode, Conditions accès suivant les EMSP",[110 chemin des plans][74360][La Chapelle-d'Abondance],6.787533,46.294524,nexteneo,24/7,false,true,false,false,Accessibilité inconnue,2,2,2,0,0,0,0,22.0,0,0
ENERJUMP,810323436,c.blanchot@enerjump.fr,ENERJUMP,c.blanchot@enerjump.fr,+33680428426,Watt'up,FR*190*P190001SPE24,,Brive Watt'up Truck,Station dédiée à la recharge rapide,,4,false,Direct,,,,153 RUE DES LEVADES 19600 SAINT PANTALEON-DE-LARCHE,1.4680674393363025,45.153311086559306,enerjump,24/7,false,true,false,false,Accessible mais non réservé PMR,4,0,4,4,0,0,0,0,0,360.0
ENERJUMP,810323436,c.blanchot@enerjump.fr,ENERJUMP,c.blanchot@enerjump.fr,+33680428426,Watt'up,FR*190*P330001SPE24,,Bordeaux Watt'up Truck,Station dédiée à la recharge rapide,,4,false,Direct,,,,10 AVENUE DES TROIS CARDINAUX 33000 BORDEAUX,-0.5521443570283502,44.88707608413368,enerjump,24/7,false,true,false,false,Accessible mais non réservé PMR,4,0,4,4,0,0,0,0,0,400.0
ENERJUMP,810323436,c.blanchot@enerjump.fr,ENERJUMP,c.blanchot@enerjump.fr,+33680428426,Watt'up,FR*190*P770001SPE24,,Compans Watt'up Truck,Station dédiée à la recharge rapide,,4,false,Direct,,,,RUE ELISABETH BOSELLI 77290 COMPANS,2.651762652940464,48.991784864899266,enerjump,24/7,false,true,false,false,Accessible mais non réservé PMR,4,0,4,4,0,0,0,0,0,400.0
R3,902726488,info@r3-charge.fr,R3,exploitation@r3-charge.fr,+33321509292,R3,FR*3R3*P89251522,,R3 - Faches-Thumesnil - Norauto,Parking privé à usage public,59220,5,false,Direct,50029756672465,2022-12-01,,"Rue De L'egalite Prolongée, 59155 Faches Thumesnil",3.08332,50.58529,r3,24/7,false,true,true,false,Accessible mais non réservé PMR,5,0,1,4,0,0,0,22.0,0,150.0
R3,902726488,info@r3-charge.fr,R3,exploitation@r3-charge.fr,+33321509292,R3,FR*3R3*P89258268,,R3 - Noyelles-Godault - Norauto,Parking privé à usage public,62624,5,false,Direct,50022807040251,2023-01-12,,"centre commercial Auchan, 62950 Noyelles-Godault",2.981407,50.412567,r3,24/7,false,true,true,false,Accessible mais non réservé PMR,5,0,1,3,1,0,0,22.0,50.0,150.0
R3,902726488,info@r3-charge.fr,R3,exploitation@r3-charge.fr,+33321509292,R3,FR*3R3*P89258297,,R3 - Reims Cormontreuil - Norauto,Parking privé à usage public,51172,5,false,Direct,50067232997580,2022-11-21,,"Rue des Blancs Monts, 51350 Cormontreuil",4.056987,49.216687,r3,24/7,false,true,true,false,Accessible mais non réservé PMR,5,0,1,3,1,0,0,22.0,50.0,150.0
R3,902726488,info@r3-charge.fr,R3,exploitation@r3-charge.fr,+33321509292,R3,FR*3R3*P89258302,,R3 - Roncq - Norauto,Parking privé à usage public,59508,5,false,Direct,50065498800757,2023-03-03,,"324 Rue Henri Barbusse, 59223 Roncq",3.133896,50.74058,r3,24/7,false,true,true,false,Accessible mais non réservé PMR,5,0,1,3,1,0,0,22.0,50.0,150.0
R3,902726488,info@r3-charge.fr,R3,exploitation@r3-charge.fr,+33321509292,R3,FR*3R3*P89258309,,R3 - Saint-Martin-Boulogne - Norauto,Parking privé à usage public,62758,5,false,Direct,50059131209109,2022-11-24,,"Centre Commercial Auchan, N42, 62280 Saint-Martin-Boulogne",1.677465,50.733599,r3,24/7,false,true,true,false,Accessible mais non réservé PMR,5,0,1,4,0,0,0,22.0,0,150.0
